incident,command,service name,expansion
0,systemroot%\system32\driverstore\filerepository\sgx_psw.inf_amd64_b117548b2e075ba1\aesm_service.exe,npcap packet driver (npcap),sys
0,D:\MIR\OPCServerV30\ServerOm3.exe,scfilter,sys
0,-,WUDFWpdFs,sys
0,"%COMSPEC% /Q /c cMd.eXE /Q /c for /f tokens=1,2 delims=  ^%A in ('tasklist /fi Imagename eq lsass.exe | find lsass') do rundll32.exe C:\windows\System32\comsvcs.dll, #+0000^24 ^%B \Windows\Temp\6HZDiTYr.txt full",\MSITechPulseUpdater,exe
0,SystemRoot\system32\DRIVERS\npcap.sys,tbtsvc.exe,exe
0,C:\Windows\System32\DRIVERS\scfilter.sys,total network inventory 2 audit service,exe
0,C:\Windows\system32\DRIVERS\WUDFRd.sys,Intel(R) PRO/1000 PCI Express Network Connection Driver I,sys
0,C:\Program Files (x86)\Hewlett-Packard\HP Touchpoint Manager\Tools\TAInstaller.exe --install --deployer,\NvTmRep_CrashReport4_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},-
0,c:\program files (x86)\intel\thunderbolt software\tbtsvc.exe,UcmUcsiAcpiClient,sys
1,systemroot%\tniwinagent\tniwinagent.exe,\rpa.reports_on_individuals,cmd
0,systemroot\system32\drivers\e1i63x64.sys,\StartCN,-
1,-,ActiveMQ run,bat
0,C:\Windows\System32\drivers\UcmUcsiAcpiClient.sys,\WINDOWS\system32\pcalua.exe,exe
1,C:\rpa\rpa.reports_on_individuals\venv\Scripts\assdqwezadr.cmd src\robot.py run_supervisor,360AvFlt mini-filter driver,sys
0,-,Dfsc,sys
0,C:\TIRFT\apache-activemq-5.16.1\bin\startcrypt.bat,драйвер адаптера минипорта для туннеля microsoft,sys
0,C:\WINDOWS\system32\pcalua.exe -a \\vld-fs08\Distr_DIT\,Устройства Bluetooth (личной сети),sys
1,C:\Windows\system32\drivers\360AvFlt.sys,C:\Program Files (x86)\LTV-NVMS lite\Server\TVWallServer.exe,exe
0,C:\Windows\System32\Drivers\dfsc.sys,btobto,bat
0,systemroot\system32\drivers\tunnel.sys,WdFilter,sys
1,systemroot\system32\drivers\bthpan.sys,проверка сертификатов Забикс на этом пк,ps1
0,C:\Program Files (x86)\LTV-NVMS lite\Server\TVWallServer.exe,filezilla-server,exe
0,%comspec% /q /c echo cd  ^> \\127.0.0.1\c$\__output 2^>^&1 > %temp%\execute.bat & %comspec% /q /c %temp%\execute.bat & del %temp%\execute.bat, intel(r) serial io gpio driver v2,sys
1,C:\Windows\system32\drivers\WdFilter.sys,ZhuDongFangYu,exe
0,C:\Program Files\ZUserix Agent\certmonitor\GetCertFromURL.ps1,\vuZvuyHS,exe
0,c:\program files\filezilla server\filezilla-server.exe,\AsusSystemAnalysis_754F3273-0563-4F20-B12F,exe
0,systemroot\system32\driverstore\filerepository\ialpss2_gpio2_cnl.inf_amd64_d920c2a844f26eba\ialpss2_gpio2_cnl.sys,Аудио Intel(R) для дисплеев,-
0,C:\Program Files (x86)\360\360Safe\deepscan\zhudongfangyu.exe,iaStorE,sys
0,cmd.exe /C query user > %windir%\Temp\RxOVeyhI.tmp 2>&1 cmd.exe /C netstat -ano > %windir%\Temp\vuZvuyHS.tmp 2>&1,\IPTHTZbW,exe
0,C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_aeff025f0108fb44\ASUSSystemAnalysis\AsusSystemAnalysis.exe -j0,\RtkAudUService64_BG,exe
0,-,\NvNodeLauncher_{B2FE1952-0186-46C3},-
0,system32\drivers\iastore.sys,iwdbus.sys,sys
1,c:\windows\temp\SearchIndex.exe -orwuhg478hdbg3RGJURFHJR7sb52gvw65bsgw2dg > %windir%\Temp\IPTHTZbW.tmp 2>&1,Bonjour Service,bat
0,cmd.exe /C tasklist /svc > %windir%\Temp\bMROvwWY.tmp 2>&1,system32\drivers\klramdisk.sys,sys
0,cmd.exe /C tasklist /svc > %windir%\Temp\RCAAcqIo.tmp 2>&1,\create-guest-wifi,exe
1,C:\ProgramData\debug\SearchIndex.exe,WiMan Service,sys
0,Searchindexer.exe,officeclicktorun,exe
1,C:\Windows\System32\RtkAudUService64.exe -background,LxssManagerUser_ee2e1,vbs
1,-,"小贝加速服务
主动防御",exe
0,systemroot\system32\drivers\iwdbus.sys,Aladdin IFD Handler,sys
0,C:\IDIS Center\Client\mDNSResponder.bat,\CCleanerCrashReporting,exe
1,system32\drivers\klramdisk.sys,\AD Топ-менеджеры Add Users,ps1
0,C:\Windows\script\PHP\php.exe ‪C:\Windows\script\create-guest-wifi.php.,hpprintscandoctorservice,exe
1,\SystemRoot\System32\DriverStore\FileRepository\wiman.inf_amd64_27a3cc149d006219\WiManHu\WiManHu.sys,zpmon_drv,sys
0,c:\program files\common files\microsoft shared\clicktorun\officeclicktorun.exe /service,epklibproxy,sys
1,C:\Windows\system32\ssdqqwe.vbs,обновление компонентов ПО Microsoft Visual Studio,exe
0,C:\Program Files (x86)\360SPTray\360SPService.exe,\Ascon.AU.ControlCenter,exe
0,systemroot\system32\drivers\aldnifdh.sys,Sense,exe
0,C:\Program Files\CCleaner\CCleanerBugReport.exe --product 90 --send dumps|report --path C:\Program Files\CCleaner\LOG --programpath C:\Program Files\CCleaner --configpath C:\Program Files\CCleaner\Setup --guid bb734577-43f5-4160-92b2-b477bb57832c --version 6.04.10044 --silent,mst64_4.18.0,sys
0,C:\Scripts\Top_Managers_Group\Top_Managers_Group_User.ps1,WSDPrintDevice,sys
0,c:\program files\hpprintscandoctor\hpprintscandoctorservice.exe,kneps,sys
0,C:\WINDOWS\system32\Drivers\zpmon_drv.sys,Logicool SetPoint KMDF HID Filter Driver,sys
0,c:\windows\system32\drivers\epklibproxy.sys,\TVT\TVSUUpdateTask,exe
0,C:\Program Files (x86)\Microsoft Visual Studio 14.0\Common7\IDE\VSIXAutoUpdate.exe,rhproxy,sys
